game_date,game_name,game_status,game_video,winner_name,second_name,winner_rank,second_rank,winner_score,second_score,winner_logo,second_logo
03/18/2021,FIRST FOUR®,FINAL,/game/5774490,Texas Southern,Texas Southern,16,16,60,60,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg
03/18/2021,FIRST FOUR®,FINAL,/game/5774489,Drake,Drake,11,11,53,53,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/drake.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/drake.svg
03/18/2021,FIRST FOUR®,FINAL,/game/5774488,Norfolk St.,App State,16,16,54,53,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/norfolk-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg
03/18/2021,FIRST FOUR®,FINAL (OT),/game/5774491,UCLA,UCLA,11,11,86,86,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
03/19/2021,FIRST ROUND,FINAL (OT),/game/5774514,Florida,Virginia Tech,7,10,75,70,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774513,Arkansas,Colgate,3,14,85,68,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colgate.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774516,Illinois,Drexel,1,16,78,49,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774512,Texas Tech,Utah St.,6,11,65,53,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-st.svg
03/19/2021,FIRST ROUND,FINAL (OT),/game/5774515,Oral Roberts,Oral Roberts,15,15,75,75,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774508,Baylor,Hartford,1,16,79,55,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hartford.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774517,Loyola Chicago,Georgia Tech,8,9,71,60,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-chicago.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774518,Oregon St.,Oregon St.,12,12,70,70,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
03/19/2021,FIRST ROUND,FINAL,/game/5774519,Oklahoma St.,Liberty,4,13,69,60,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg
